2026-02-25 13:33:47 DEBUG    Fetching open PRs from 'products/SLFO'
2026-02-25 13:33:49 INFO     Loaded 242 active PRs from products/SLFO
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2649 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2648 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2647 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2646 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2645 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2643 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2642 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2641 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2640 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2639 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2638 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2637 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2636 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2635 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2634 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2633 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2631 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2630 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2629 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2628 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2627 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2626 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2625 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2624 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2623 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2618 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2617 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2616 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2615 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2612 from Gitea
2026-02-25 13:33:49 DEBUG    Fetching info for PR git:2611 from Gitea
